what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265989874063
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1265989880367
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265989881175
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265989882108
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1265989883560
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265989884420
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1265989885581
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265989899305
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1265989928169
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265989929062
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265989929627
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1265989932659
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.0.I20090429-1800,"org.eclipse.ui.views.properties.tabbed",1265989932722
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265989934619
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990010856
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265990012342
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265990033506
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1265990036728
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990037606
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990038476
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1265990083959
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265990085226
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990097074
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990103445
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265990111171
