what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265990113353
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1265990115918
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990116632
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990117498
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1265990179070
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265990179838
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990184996
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990192466
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265990364490
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1265990368555
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990369412
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990370298
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990370619
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990384474
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1265990384542
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265990385744
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265990397334
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1265990400141
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990400922
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990401867
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990402916
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990418382
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1265990418451
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265990422305
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265990427522
