what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265951153860
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265951155763
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265985016139
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1265985019005
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265986813372
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265986818319
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265986821236
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265986824615
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265986861514
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265986871807
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265986876321
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265986876545
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265986937996
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265986938206
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265986938421
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265986938641
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265986940641
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265986941034
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265986941997
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265986942178
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265986942347
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.showInformation",1265986972014
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265986972041
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265986973161
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1265986978992
