what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1265937454729
java.version,sysinfo,,,"1.6.0_18",1265937454729
java.vm.info,sysinfo,,,"mixed mode, sharing",1265937454729
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1265937454729
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1265937454729
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1265937454729
java.vm.specification.version,sysinfo,,,"1.0",1265937454729
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1265937454729
java.vm.version,sysinfo,,,"16.0-b13",1265937454729
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1265937454736
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1265937454822
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1265937454909
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1265937454928
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1265937455141
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1265937455162
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1265937455170
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1265937455205
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1265937455239
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.200909110608,"org.eclipse.cdt.managedbuilder.ui",1265937460213
started,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.200909110608,"org.eclipse.cdt.managedbuilder.core",1265937460244
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.200909110608,"org.eclipse.cdt.managedbuilder.gnu.ui",1265937460512
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265937460937
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1265937486502
started,bundle,org.eclipse.cdt.make.core,6.0.0.200909110608,"org.eclipse.cdt.make.core",1265937486557
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1265937487171
