what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265987525706
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265987536649
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1265987539117
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265987539918
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265987540425
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1265987542129
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265987542255
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265987551375
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1265987554515
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265987555295
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265987556255
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1265987557429
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265987565764
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1265987569609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265987570492
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265987571127
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265987574708
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265987616071
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265987621382
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265987874123
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265989491237
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1265989788110
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1265989790391
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1265989846763
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1265989849107
